tweet.id,tweet.created_at,tweet.text,tweet.user.name,tweet.user.screen_name,tweet.user.location,tweet.user.id,tweet.user.followers_count,tweet.user.friends_count,tweet.user.favourites_count,tweet.user.description
1256600228720857088,2020-05-02 15:03:35,9. Why R elderly being removed from acute hospitals? Not because of over crowding. Once the eldery are diagnosed w… https://t.co/ye93JmPU8a,Jerry,jhaleyj56,United States,3226565178,7682,7493,196901,#MAGA #AmericaFirst #Trump2020Landslide  #VoteRedToSaveAmerica #PatriotsUnited  #BornInUSA #Married 44 years
1256600228544884741,2020-05-02 15:03:35,RT @WithaSideOfBand: RECOMMENDATION : I've just seen the music video to 'Let it Burn' by written by wolves and it's gone straight into my p…,Noble Music,music_noble,,1088997239241015297,745,1914,620,Love finding new music. Please DM me any band/song recommendations! Knighting the bands who rule the Rock Kingdom. Trying to grow my page so I’ll follow back
1256600223637401602,2020-05-02 15:03:34,@johnpavlovitz CDC has updated the death count due to #COVID,Action 🎲 Jaxon,the1Jax,"Greater Vancouver, British Columbia",909533879983210496,1465,709,20173,"Serial investor, entrepreneur and CDN stock investor on the #TSX #TSXv #CSE Also play the big boards on the US side #NASDAQ and #NYSE . Not investment advice"
1256600223125667840,2020-05-02 15:03:34,RT @Wyn1745: Q4040 Influenza Deaths Are Being Attributed to #COVID to Increase Fear/Panic. __ Knowledge is power. Information warfare. Q Re…,Jeremy,yacht2have1,United States,51510721,4333,2869,201153,"""una bella vita"" I #nevergiveup The person who says it can not be done should not interrupt the person doing it #dreambig #selfemployed #entrepreneur #driven"
1256600217522262017,2020-05-02 15:03:33,RT @shiekmedia: @BillGates It’s time to wake up people we are being LIED too! Here’s another Doctor confirming False COVID19 deaths. #FireF…,Go Natural / Michele,igonatural,Las Vegas NV & London Canada,15067951,1080,2019,5344,Founder Go Natural Inc. Canada & USA - Michele Kish - Inventor of Go-Natural® The ALL-IN-ONE Cosmetic® in 1999. Licensed Cosmetologist - Since 1978.
1256600212258328576,2020-05-02 15:03:31,"RT @Wyn1745: WOW! WTF? CDC #COVID19 Death Revision&gt; 37,308 as of May 1st, 2020. The whole Freaking #COVID thing is a Joke! They [Dems, #Chi…",Nancy,nancyl367,"New Jersey, USA",17719672,6988,3894,217118,I support President Trump 100% . .. #MAGA Best President Ever! #Trump2020 #BeBest
1256600208370212867,2020-05-02 15:03:30,Imagine there was a protocol for #COVID that saved lives &amp; without the necessity of lock downs or expensive unprove… https://t.co/XF45wfBzOc,Roger Hall,hall_roger,Derbyshire,326057006,1676,2112,9570,"Libertarian, vaper and p/t vaping advocate. Agnostic by experience. Non political but pro democracy so anti EU. Common sense preferred to political rhetoric"
1256600193442562055,2020-05-02 15:03:27,RT @theintjnurse: This #covid-19 situation makes me realize how quickly our lives can be taken away from us... and that there’s only 1 eart…,RAHDYN,rahdine,Universe,85293680,150,655,33564,ISKA. JOURNALIST.
1256600191928434693,2020-05-02 15:03:26,"RT @AlexBerenson: Fun fact from the @cdcgpv surveillance data: of 4,000 #COVID hospitalizations for which they provide detailed age data, 2…",Christine Klein - Text TRUMP to 88022,cklein60259181,"California, USA",752224328104587264,123,72,16134,
1256600184630513665,2020-05-02 15:03:25,RT @Med_Life_Crisis: pregnancy in the time of #covid and being a pregnant poc at that 😔😔,Ｔａｙｌｏｒthe quarantine queen,blackgirlmed,At home like you should be,915456932302991360,552,984,13617,"God first 🙏🏾 | Aspiring physician | Nontrad premed | BA, MS | Former ER scribe & MA | Blogger | Advocate | Research Fellow #girlmedtwitter Opinions are my own"
